,MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,Total_Drought_Area,D1_or_More
0,2002-01-31,AL,70.124,21.852,7.374,0.65,0.0,0.0,29.875999999999998,8.024000000000001
1,2002-01-31,FL,50.763999999999996,46.846000000000004,2.39,0.0,0.0,0.0,49.236000000000004,2.39
2,2002-01-31,GA,2.3340000000000005,6.903999999999999,31.872000000000003,39.934,18.956,0.0,97.666,90.76199999999999
3,2002-01-31,LA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2002-01-31,MS,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2002-01-31,NC,0.29,1.168,25.724,72.81200000000001,0.006,0.0,99.71000000000001,98.542
6,2002-01-31,SC,0.0,0.0,2.86,31.1,66.03999999999999,0.0,100.0,100.0
7,2002-01-31,VA,0.20400000000000001,1.3539999999999999,61.52,36.926,0.0,0.0,99.8,98.446
8,2002-02-28,AL,71.205,24.207499999999996,4.455,0.1325,0.0,0.0,28.795,4.5875
9,2002-02-28,FL,53.7775,45.22,1.0025,0.0,0.0,0.0,46.2225,1.0025
10,2002-02-28,GA,5.9325,11.095,25.919999999999998,36.6075,20.4425,0.0,94.065,82.97
11,2002-02-28,LA,84.39750000000001,15.602500000000001,0.0,0.0,0.0,0.0,15.602500000000001,0.0
12,2002-02-28,MS,95.63,4.369999999999999,0.0,0.0,0.0,0.0,4.369999999999999,0.0
13,2002-02-28,NC,1.395,6.23,35.37,54.724999999999994,2.2824999999999998,0.0,98.6075,92.37750000000001
14,2002-02-28,SC,0.0,0.11499999999999999,16.4425,10.432500000000001,73.0075,0.0,99.9975,99.8825
15,2002-02-28,VA,0.725,2.315,18.78,76.8625,1.3150000000000002,0.0,99.27250000000001,96.9575
16,2002-03-31,AL,33.8875,46.915,16.745,2.4525,0.0,0.0,66.11250000000001,19.197499999999998
17,2002-03-31,FL,50.6125,48.83,0.5575,0.0,0.0,0.0,49.3875,0.5575
18,2002-03-31,GA,1.795,12.395,17.9125,50.682500000000005,17.2125,0.0,98.2025,85.80749999999999
19,2002-03-31,LA,99.99,0.01,0.0,0.0,0.0,0.0,0.01,0.0
20,2002-03-31,MS,98.1675,1.8325,0.0,0.0,0.0,0.0,1.8325,0.0
21,2002-03-31,NC,0.0,1.5925,14.510000000000002,64.065,19.835,0.0,100.0025,98.41000000000001
22,2002-03-31,SC,0.0,0.0,1.9725,17.604999999999997,80.42250000000001,0.0,100.0,100.0
23,2002-03-31,VA,2.665,2.015,6.397499999999999,64.7725,24.1475,0.0,97.3325,95.31750000000001
24,2002-04-30,AL,51.455999999999996,44.396,4.15,0.0,0.0,0.0,48.546,4.15
25,2002-04-30,FL,47.232000000000006,52.724000000000004,0.046,0.0,0.0,0.0,52.769999999999996,0.046
26,2002-04-30,GA,3.3560000000000003,17.322,33.562,41.660000000000004,4.1,0.0,96.64399999999999,79.322
27,2002-04-30,LA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2002-04-30,MS,98.44,1.56,0.0,0.0,0.0,0.0,1.56,0.0
29,2002-04-30,NC,0.316,10.11,34.064,35.742000000000004,19.766,0.0,99.68199999999999,89.572
30,2002-04-30,SC,0.0,0.068,7.404000000000001,23.876,68.65599999999999,0.0,100.00399999999999,99.93599999999999
31,2002-04-30,VA,7.8,6.104000000000001,9.864,48.55,27.68,0.0,92.198,86.09400000000001
32,2002-05-31,AL,24.6025,27.439999999999998,31.4275,16.5075,0.0225,0.0,75.39750000000001,47.957499999999996
33,2002-05-31,FL,1.16,74.41250000000001,19.81,4.625,0.0,0.0,98.8475,24.435
34,2002-05-31,GA,3.425,6.735,13.855,50.15,25.840000000000003,0.0,96.58,89.845
35,2002-05-31,LA,21.0575,35.9775,36.26,6.705,0.0,0.0,78.9425,42.964999999999996
36,2002-05-31,MS,46.72,25.615000000000002,25.7425,1.9224999999999999,0.0,0.0,53.28,27.665
37,2002-05-31,NC,0.24,14.997500000000002,23.8025,35.835,25.119999999999997,0.0,99.755,84.7575
38,2002-05-31,SC,0.0,2.6574999999999998,26.2675,27.357499999999998,43.7175,0.0,100.0,97.3425
39,2002-05-31,VA,9.5075,22.66,17.5175,38.985,11.3325,0.0,90.495,67.83500000000001
40,2002-06-30,AL,16.5825,22.605,33.657500000000006,27.09,0.0675,0.0,83.42000000000002,60.815
41,2002-06-30,FL,34.56250000000001,36.3125,19.495,9.629999999999999,0.0,0.0,65.4375,29.125
42,2002-06-30,GA,0.0875,5.8725,12.337499999999999,44.47,37.2375,0.0,99.91749999999999,94.04499999999999
43,2002-06-30,LA,3.825,23.9175,47.345,24.912499999999998,0.0,0.0,96.17499999999998,72.25750000000001
