,COMMON NAME,STATE,Month,Year,Observations/Minute,OBSERVATION COUNT
0,American Redstart,Alabama,6,2002,0.3765432098765432,1.1296296296296298
1,American Redstart,Alabama,9,2002,0.20341880341880342,13.6
2,American Redstart,Alabama,10,2002,0.11435185185185186,21.416666666666668
3,American Redstart,Florida,1,2002,0.00392156862745098,1.0
4,American Redstart,Florida,2,2002,0.010714285714285714,1.0
5,American Redstart,Florida,3,2002,0.013333333333333334,3.0
6,American Redstart,Florida,4,2002,0.01228024373799997,2.7017543859649122
7,American Redstart,Florida,5,2002,0.027193462891920196,6.569444444444445
8,American Redstart,Florida,6,2002,0.0011904761904761906,1.0
9,American Redstart,Florida,7,2002,0.003205128205128205,2.5
10,American Redstart,Florida,8,2002,0.009875191221269654,2.18
11,American Redstart,Florida,9,2002,0.012402231326176938,2.781481481481481
12,American Redstart,Florida,10,2002,0.019228181380466516,4.03
13,American Redstart,Florida,11,2002,0.024729753677122098,2.6666666666666665
14,American Redstart,Florida,12,2002,0.017857142857142856,2.3333333333333335
15,American Redstart,Georgia,4,2002,0.0059210526315789476,1.25
16,American Redstart,Georgia,9,2002,0.04042087542087542,6.5
17,American Redstart,Georgia,10,2002,0.015177411263012667,3.25
18,American Redstart,Louisiana,4,2002,0.019025157232704402,2.0
19,American Redstart,Louisiana,5,2002,0.11476979639101931,23.75
20,American Redstart,Louisiana,7,2002,0.027586206896551724,8.0
21,American Redstart,Louisiana,8,2002,0.009295078444014613,1.1666666666666667
22,American Redstart,Louisiana,9,2002,0.013147315726865092,3.1190476190476186
23,American Redstart,Louisiana,10,2002,0.02774494689090973,3.875
24,American Redstart,Louisiana,11,2002,0.010020908004778973,1.0
25,American Redstart,Mississippi,9,2002,0.01623809523809524,1.4
26,American Redstart,Mississippi,10,2002,0.01845679012345679,1.6666666666666667
27,American Redstart,North Carolina,4,2002,0.13333333333333333,2.0
28,American Redstart,North Carolina,5,2002,0.0177046783625731,4.0
29,American Redstart,North Carolina,6,2002,0.007352941176470588,1.0
30,American Redstart,North Carolina,8,2002,0.011274131274131275,2.0
31,American Redstart,North Carolina,9,2002,0.03255360623781676,10.333333333333334
32,American Redstart,North Carolina,10,2002,0.008333333333333333,1.0
33,American Redstart,South Carolina,4,2002,0.0036231884057971015,2.0
34,American Redstart,South Carolina,5,2002,0.008623615576991782,5.0
35,American Redstart,South Carolina,7,2002,0.009615384615384616,6.0
36,American Redstart,South Carolina,8,2002,0.004074976260270013,2.0
37,American Redstart,South Carolina,9,2002,0.02759658958766381,3.7142857142857144
38,American Redstart,South Carolina,10,2002,0.019747924909988206,11.0
39,American Redstart,Virginia,4,2002,0.007407407407407408,1.5
